pt;en
Am.Sul e Brasil;S.A. & Brazil
Análise Espacial;Maps
Áreas;Zones
Atualizar Tela;Refresh
Avaliação de modelos;Model evaluation
Categorias;Categories
Categorias de;Categories of
Ciclo;Cycle
Círculos;Circles
Chuv.;Rainy
Colunas;Colunms
Conjunto;Variable set
DESEMPENHO MÉDIO PREVISÃO EM;AVG PERFORMANCE IN 
dia;day
dias;days
DIA;DAY
DIAS;DAYS
Dia;Day
Diária;Daily
Dias previsão;Lead time
Escala de Cores;Color palette
Estados Brasil;Brazil states
Estados;Estates
Gradiente do bias;Bias gradient
Gráfico único;All-in-one chart
gráfico;plot
Histogramas;Histograms
Incluir oceano;Include ocean
Limiares;Thresholds
LIMIARES;THRESHOLDS
Média das Métricas;Metric average
Média do período;Period Avg
Média dos últimos 30 dias;Last 30 days Avg
Média dos últimos 7 dias;Last 7 days Avg
Melhor vs. Pior;Best vs. Worst
Mês;Month
Mensal;Monthly
Métricas;Metrics
Mostrar quadrantes;Show quadrants
Não;No
Ocorrências;Frequency
Observação;Observation
ou;or
Países Am.Sul;S.A. countries
Período;Date range
Prev vs. Obs;Pred vs. Obs
PREV x OBS;PRED x OBS
Previsões;Predictions
Probab. de sucesso;Prob. of success
Probab. de detecção;Prob. of detection
Quadrantes;Quadrants
Região;Region
Regiões Brasil;Brazil regions
Regiões;Regions
Resolução eixo-X;X-axis resolution
Saz.;Seas.
Sazonal;Seasonal
S;W
Semanal;Weekly
Separar regiões;Split regions
Série Temporal;Time series
Sim;Yes
Símbolos;Symbols
SUBESTIMOU MAIS VEZES;UNDERESTIMATION
SUPERESTIMOU MAIS VEZES;OVERESTIMATION
Tam. métricas;Metric size
Temporalidade;Time setting
Tipo do ponto;Mark type
Tipo;Type
Último dia;Last day
Último;Last
Valor;Value
Valores dos pontos;Values